// Вміст цього файлу націлений на використання в "*.rulePack.rulesStrings".

// Використання: 
//    <li>TalkTopicLight->[Animal]</li> -> <li>TalkTopicLight->{lookup: [Animal]; Rules; 1-12}}</li>
// Множина починається з 6-го індексу.
// Індекс 0 використовується для пошуку рядка. Його не потрібно використовувати.


// 0              ; 1             ; 2               ; 3               ; 4             ; 5              ; 6               ; 7              ;  8               ; 9                ; 10             ; 11              ;
// Називний однина; Родовий однина; Давальний однина; Знахідний однина; Орудний однина; Місцевий однина; Називний множина; Родовий множина; Давальний множина; Знахідний множина; Орудний множина; Місцевий множина;


// [Animals]
// 0            ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9                ; 10                 ; 11               ;
равлик          ; равлика          ; равликові          ; равлика          ; равликом         ; равликові          ; равлики        ; равликів         ; равликам         ; равликів         ; равликами          ; равликах         ;
змія            ; змії             ; змії               ; змію             ; змією            ; змії               ; змії           ; змій             ; зміям            ; змій             ; зміями             ; зміях            ;
горобець        ; горобця          ; горобцеві          ; горобця          ; горобцем         ; горобцеві          ; горобці        ; горобців         ; горобцям         ; горобців         ; горобцями          ; горобцях         ;
павук           ; павука           ; павукові           ; павука           ; павуком          ; павукові           ; павуки         ; павуків          ; павукам          ; павуків          ; павуками           ; павуках          ;
кальмар         ; кальмара         ; кальмарові         ; кальмара         ; кальмаром        ; кальмарові         ; кальмари       ; кальмарів        ; кальмарам        ; кальмарів        ; кальмарами         ; кальмарах        ;
скат            ; ската            ; скатові            ; ската            ; скатом           ; скатові            ; скати          ; скатів           ; скатам           ; скатів           ; скатами            ; скатах           ;
клоп-смердюк    ; клопа-смердюка   ; клопові-смердюкові ; клопа-смердюка   ; клопом-смердюком ; клопові-смердюкові ; клопи-смердюки ; клопів-смердюків ; клопам-смердюкам ; клопів-смердюків ; клопами-смердюками ; клопах-смердюках ;
лелека          ; лелеки           ; лелеці             ; лелеку           ; лелекою          ; лелеці             ; лелеки         ; лелек            ; лелекам          ; лелек            ; лелеками           ; лелеках          ;
лебідь          ; лебедя           ; лебедеві           ; лебедя           ; лебедем          ; лебедеві           ; лебеді         ; лебедів          ; лебедям          ; лебедів          ; лебедями           ; лебедях          ;
тапір           ; тапіра           ; тапірові           ; тапіра           ; тапіром          ; тапірові           ; тапіри         ; тапірів          ; тапірам          ; тапірів          ; тапірами           ; тапірах          ;
довгоп'ят       ; довгоп'ята       ; довгоп'ятові       ; довгоп'ята       ; довгоп'ятом      ; довгоп'ятові       ; довгоп'яти     ; довгоп'ятів      ; довгоп'ятам      ; довгоп'ятів      ; довгоп'ятами       ; довгоп'ятах      ;
тигр            ; тигра            ; тигрові            ; тигра            ; тигром           ; тигрові            ; тигри          ; тигрів           ; тиграм           ; тигрів           ; тиграми            ; тиграх           ;
жаба            ; жаби             ; жабі               ; жабу             ; жабою            ; жабі               ; жаби           ; жаб              ; жабам            ; жаб              ; жабами             ; жабах            ;
форель          ; форелі           ; форелі             ; форель           ; фореллю          ; форелі             ; форелі         ; форелей          ; форелям          ; форелей          ; форелями           ; форелях          ;
індик           ; індика           ; індикові           ; індика           ; індиком          ; індикові           ; індики         ; індиків          ; індикам          ; індиків          ; індиками           ; індиках          ;
черепаха        ; черепахи         ; черепасі           ; черепаху         ; черепахою        ; черепасі           ; черепахи       ; черепах          ; черепахам        ; черепах          ; черепахами         ; черепахах        ;
гадюка          ; гадюки           ; гадюці             ; гадюку           ; гадюкою          ; гадюці             ; гадюки         ; гадюк            ; гадюкам          ; гадюк            ; гадюками           ; гадюках          ;
полівка         ; полівка          ; полівка            ; полівка          ; полівка          ; полівка            ; полівка        ; полівок          ; полівкам         ; полівок          ; полівками          ; полівках         ;
стерв'ятник     ; стерв'ятника     ; стерв'ятникові     ; стерв'ятника     ; стерв'ятником    ; стерв'ятникові     ; стерв'ятники   ; стерв'ятників    ; стерв'ятникам    ; стерв'ятників    ; стерв'ятниками     ; стерв'ятниках    ;
морж            ; моржа            ; моржеві            ; моржа            ; моржем           ; моржеві            ; моржі          ; моржів           ; моржам           ; моржів           ; моржами            ; моржах           ;
оса             ; оси              ; осі                ; осу              ; осою             ; осі                ; оси            ; ос               ; осам             ; ос               ; осами              ; осах             ;
ласка           ; ласки            ; ласці              ; ласку            ; ласкою           ; ласці              ; ласки          ; ласок            ; ласкам           ; ласок            ; ласками            ; ласках           ;
кит             ; кита             ; китові             ; кита             ; китом            ; китові             ; кити           ; китів            ; китам            ; китів            ; китами             ; китах            ;
росомаха        ; росомахи         ; росомасі           ; росомаху         ; росомахою        ; росомасі           ; росомахи       ; росомах          ; росомахам        ; росомах          ; росомахами         ; росомахах        ;
вомбат          ; вомбата          ; вомбатові          ; вомбата          ; вомбатом         ; вомбатові          ; вомбати        ; вомбатів         ; вомбатам         ; вомбатів         ; вомбатами          ; вомбатах         ;
дятел           ; дятла            ; дятлові            ; дятла            ; дятлом           ; дятлові            ; дятли          ; дятлів           ; дятлам           ; дятлів           ; дятлами            ; дятлах           ;
черв'як         ; черв'яка         ; черв'якові         ; черв'яка         ; черв'яком        ; черв'якові         ; черв'яки       ; черв'яків        ; черв'якам        ; черв'яків        ; черв'яками         ; черв'яках        ;
як              ; яка              ; якові              ; яка              ; яком             ; якові              ; яки            ; яків             ; якам             ; яків             ; яками              ; яках             ;
зебра           ; зебри            ; зебрі              ; зебру            ; зеброю           ; зебрі              ; зебри          ; зебр             ; зебрам           ; зебр             ; зебрами            ; зебрах           ;

// [Game]
// 0           ; 1               ; 2                ; 3              ; 4                  ; 5                ;
покер          ; покеру          ; покеру           ; покер          ; покером            ; покері           ;
шахи           ; шахів           ; шахам            ; шахи           ; шахами             ; шахах            ;
карти          ; карт            ; картам           ; карти          ; картами            ; картах           ;
нарди          ; нард            ; нардам           ; нарди          ; нардами            ; нардах           ;
гральні кістки ; гральних кісток ; гральним кісткам ; гральні кістки ; гральними кістками ; гральних кістках ;
колода карт    ; колоди карт     ; колоді карт      ; колоду карт    ; колодою карт       ; колоді карт      ;
рулетка        ; рулетки         ; рулетці          ; рулетку        ; рулеткою           ; рулетці          ;
блекджек       ; блекджека       ; блекджекові      ; блекджек       ; блекджеком         ; блекджекові      ;

// [Vegetable]
// 0               ; 1                  ; 2                  ; 3                  ; 4                  ; 5                  ; 6                ; 7                  ; 8                  ; 9                ; 10                   ; 11                 ;
морква             ; моркви             ; моркві             ; моркву             ; морквою            ; моркві             ; моркви           ; морков             ; морквам            ; моркви           ; морквами             ; морквах            ;
цибуля             ; цибулі             ; цибулі             ; цибулю             ; цибулею            ; цибулі             ; цибулі           ; цибуль             ; цибулям            ; цибулі           ; цибулями             ; цибулях            ;
ріпа               ; ріпи               ; ріпі               ; ріпу               ; ріпою              ; ріпі               ; ріпи             ; ріп                ; ріпам              ; ріпи             ; ріпами               ; ріпах              ;
гарбуз             ; гарбуза            ; гарбузу            ; гарбуза            ; гарбузом           ; гарбузі            ; гарбузи          ; гарбузів           ; гарбузам           ; гарбузи          ; гарбузами            ; гарбузах           ;
диня               ; дині               ; дині               ; диню               ; динею              ; дині               ; дині             ; динь               ; диням              ; дині             ; динями               ; динях              ;
цвітна капуста     ; цвітної капусти    ; цвітній капусті    ; цвітну капусту     ; цвітною капустою   ; цвітній капусті    ; цвітні капусти   ; цвітних капусти    ; цвітним капустам   ; цвітні капусти   ; цвітними капустами   ; цвітних капустах   ;
болгарський перець ; болгарського перцю ; болгарському перцю ; болгарський перець ; болгарським перцем ; болгарському перцю ; болгарські перці ; болгарських перців ; болгарським перцям ; болгарські перці ; болгарськими перцями ; болгарських перцях ;
перець             ; перцю              ; перцю              ; перець             ; перцем             ; перці              ; перці            ; перців             ; перцям             ; перці            ; перцями              ; перцях             ;
гриб               ; гриба              ; грибові            ; гриб               ; грибом             ; грибові            ; гриби            ; грибів             ; грибам             ; гриби            ; грибами              ; грибах             ;
горошок            ; горошку            ; горошку            ; горошок            ; горошком           ; горошку            ; горошки          ; горошків           ; горошкам           ; горошки          ; горошками            ; горошках           ;
артишок            ; артишоку           ; артишоку           ; артишок            ; артишоком          ; артишоку           ; артишоки         ; артишоків          ; артишокам          ; артишоки         ; артишоками           ; артишоках          ;
баклажан           ; баклажана          ; баклажанові        ; баклажан           ; баклажаном         ; баклажанові        ; баклажани        ; баклажанів         ; баклажанам         ; баклажани        ; баклажанами          ; баклажанах         ;
сочевиця           ; сочевиці           ; сочевиці           ; сочевицю           ; сочевицею          ; сочевиці           ; сочевиці         ; сочевиць           ; сочевицям          ; сочевиці         ; сочевицями           ; сочевицях          ;
капуста            ; капусти            ; капусті            ; капусту            ; капустою           ; капусті            ; капусти          ; капусти            ; капустам           ; капусти          ; капустами            ; капустах           ;
буряк              ; буряка             ; бурякові           ; буряк              ; буряком            ; бурякові           ; буряки           ; буряків            ; бурякам            ; буряки           ; буряками             ; буряках            ;
качан кукурудзи    ; качана кукурудзи   ; качанові кукурудзі ; качан кукурудзи    ; качаном кукурудзи  ; качанові кукурудзі ; качани кукурудзи ; качанів кукурудзи  ; качанам кукурудзи  ; качани кукурудзи ; качанами кукурудзи   ; качанах кукурудзи  ;
батат              ; батата             ; бататові           ; батат              ; бататом            ; бататові           ; батати           ; бататів            ; бататам            ; батати           ; бататами             ; бататах            ;
кабачок            ; кабачка            ; кабачкові          ; кабачок            ; кабачком           ; кабачкові          ; кабачки          ; кабачків           ; кабачкам           ; кабачки          ; кабачками            ; кабачках           ;

// [Weapon]
// 0         ; 1             ; 2             ; 3            ; 4              ; 5             ; 6            ; 7            ; 8              ; 9            ; 10               ; 11             ;
кинджал      ; кинджала      ; кинджалу      ; кинджал      ; кинджалом      ; кинджалі      ; кинджали     ; кинджалів    ; кинджалам      ; кинджали     ; кинджалами       ; кинджалах      ;
лезо         ; леза          ; лезу          ; лезо         ; лезом          ; лезі          ; леза         ; лез          ; лезам          ; леза         ; лезами           ; лезах          ;
заточка      ; заточки       ; заточці       ; заточку      ; заточкою       ; заточці       ; заточки      ; заточок      ; заточкам       ; заточки      ; заточками        ; заточках       ;
бритва       ; бритви        ; бритві        ; бритву       ; бритвою        ; бритві        ; бритви       ; бритв        ; бритвам        ; бритви       ; бритвами         ; бритвах        ;
коса         ; коси          ; косі          ; косу         ; косою          ; косі          ; коси         ; кіс          ; косам          ; коси         ; косами           ; косах          ;
серп         ; серпа         ; серпу         ; серп         ; серпом         ; серпі         ; серпи        ; серпів       ; серпам         ; серпи        ; серпами          ; серпах         ;
меч          ; меча          ; мечу          ; меч          ; мечем          ; мечі          ; мечі         ; мечів        ; мечам          ; мечі         ; мечами           ; мечах          ;
шабля        ; шаблі         ; шаблі         ; шаблю        ; шаблею         ; шаблі         ; шаблі        ; шабель       ; шаблям         ; шаблі        ; шаблями          ; шаблях         ;
рапіра       ; рапіри        ; рапірі        ; рапіру       ; рапірою        ; рапірі        ; рапіри       ; рапір        ; рапірам        ; рапіри       ; рапірами         ; рапірах        ;
клеймор      ; клеймора      ; клеймору      ; клеймор      ; клеймором      ; клейморі      ; клеймори     ; клейморів    ; клейморам      ; клеймори     ; клейморами       ; клейморах      ;
ятаган       ; ятагана       ; ятагану       ; ятаган       ; ятаганом       ; ятагані       ; ятагани      ; ятаганів     ; ятаганам       ; ятагани      ; ятаганами        ; ятаганах       ;
спис         ; списа         ; спису         ; спис         ; списом         ; списі         ; списи        ; списів       ; списам         ; списи        ; списами          ; списах         ;
піка         ; піки          ; піці          ; піку         ; пікою          ; піці          ; піки         ; пік          ; пікам          ; піки         ; піками           ; піках          ;
іква         ; ікви          ; ікві          ; ікву         ; іквою          ; ікві          ; ікви         ; ікв          ; іквам          ; ікви         ; іквами           ; іквах          ;
багнет       ; багнета       ; багнету       ; багнет       ; багнетом       ; багнеті       ; багнети      ; багнетів     ; багнетам       ; багнети      ; багнетами        ; багнетах       ;
сокира       ; сокири        ; сокирі        ; сокиру       ; сокирою        ; сокирі        ; сокири       ; сокир        ; сокирам        ; сокири       ; сокирами         ; сокирах        ;
томагавк     ; томагавка     ; томагавку     ; томагавк     ; томагавком     ; томагавку     ; томагавки    ; томагавків   ; томагавкам     ; томагавки    ; томагавками      ; томагавках     ;
батіг        ; батога        ; батогу        ; батіг        ; батогом        ; батозі        ; батоги       ; батогів      ; батогам        ; батоги       ; батогами         ; батогах        ;
пила         ; пили          ; пилі          ; пилу         ; пилою          ; пилі          ; пили         ; пил          ; пилам          ; пили         ; пилами           ; пилах          ;
кийок        ; кийка         ; кийкові       ; кийок        ; кийком         ; кийкові       ; кийки        ; кийків       ; кийкам         ; кийки        ; кийками          ; кийках         ;
молоток      ; молотка       ; молоткові     ; молоток      ; молотком       ; молоткові     ; молотки      ; молотків     ; молоткам       ; молотки      ; молотками        ; молотках       ;
кувалда      ; кувалди       ; кувалді       ; кувалду      ; кувалдою       ; кувалді       ; кувалди      ; кувалд       ; кувалдам       ; кувалди      ; кувалдами        ; кувалдах       ;
булава       ; булави        ; булаві        ; булаву       ; булавою        ; булаві        ; булави       ; булав        ; булавам        ; булави       ; булавами         ; булавах        ;
кастет       ; кастета       ; кастетові     ; кастет       ; кастетом       ; кастетові     ; кастети      ; кастетів     ; кастетам       ; кастети      ; кастетами        ; кастетах       ;
рукавичка    ; рукавички     ; рукавичці     ; рукавичку    ; рукавичкою     ; рукавичці     ; рукавички    ; рукавичок    ; рукавичкам     ; рукавички    ; рукавичками      ; рукавичках     ;
дротик       ; дротика       ; дротикові     ; дротик       ; дротиком       ; дротикові     ; дротики      ; дротиків     ; дротикам       ; дротики      ; дротиками        ; дротиках       ;
стріла       ; стріли        ; стрілі        ; стрілу       ; стрілою        ; стрілі        ; стріли       ; стріл        ; стрілам        ; стріли       ; стрілами         ; стрілах        ;
арбалет      ; арбалета      ; арбалетові    ; арбалет      ; арбалетом      ; арбалетові    ; арбалети     ; арбалетів    ; арбалетам      ; арбалети     ; арбалетами       ; арбалетах      ;
лук          ; лука          ; лукові        ; лук          ; луком          ; лукові        ; луки         ; луків        ; лукам          ; луки         ; луками           ; луках          ;
рушниця      ; рушниці       ; рушниці       ; рушницю      ; рушницею       ; рушниці       ; рушниці      ; рушниць      ; рушницям       ; рушниці      ; рушницями        ; рушницях       ;
пістолет     ; пістолета     ; пістолетові   ; пістолет     ; пістолетом     ; пістолетові   ; пістолети    ; пістолетів   ; пістолетам     ; пістолети    ; пістолетами      ; пістолетах     ;
гвинтівка    ; гвинтівки     ; гвинтівці     ; гвинтівку    ; гвинтівкою     ; гвинтівці     ; гвинтівки    ; гвинтівок    ; гвинтівкам     ; гвинтівки    ; гвинтівками      ; гвинтівках     ;
дробовик     ; дробовика     ; дробовикові   ; дробовик     ; дробовиком     ; дробовикові   ; дробовики    ; дробовиків   ; дробовикам     ; дробовики    ; дробовиками      ; дробовиках     ;
револьвер    ; револьвера    ; револьверові  ; револьвер    ; револьвером    ; револьверові  ; револьвери   ; револьверів  ; револьверам    ; револьвери   ; револьверами     ; револьверах    ;
гармата      ; гармати       ; гарматі       ; гармату      ; гарматою       ; гарматі       ; гармати      ; гармат       ; гарматам       ; гармати      ; гарматами        ; гарматах       ;
міномет      ; міномета      ; мінометові    ; міномет      ; мінометом      ; мінометові    ; міномети     ; мінометів    ; мінометам      ; міномети     ; мінометами       ; мінометах      ;
гаубиця      ; гаубиці       ; гаубиці       ; гаубицю      ; гаубицею       ; гаубиці       ; гаубиці      ; гаубиць      ; гаубицям       ; гаубиці      ; гаубицями        ; гаубицях       ;
бомба        ; бомби         ; бомбі         ; бомбу        ; бомбою         ; бомбі         ; бомби        ; бомб         ; бомбам         ; бомби        ; бомбами          ; бомбах         ;
ядерна бомба ; ядерної бомби ; ядерній бомбі ; ядерну бомбу ; ядерною бомбою ; ядерній бомбі ; ядерні бомби ; ядерних бомб ; ядерним бомбам ; ядерні бомби ; ядерними бомбами ; ядерних бомбах ;
міна         ; міни          ; міні          ; міну         ; міною          ; міні          ; міни         ; мін          ; мінам          ; міни         ; мінами           ; мінах          ;
граната      ; гранати       ; гранаті       ; гранату      ; гранатою       ; гранаті       ; гранати      ; гранат       ; гранатам       ; гранати      ; гранатами        ; гранатах       ;
ракетниця    ; ракетниці     ; ракетниці     ; ракетницю    ; ракетницею     ; ракетниці     ; ракетниці    ; ракетниць    ; ракетницям     ; ракетниці    ; ракетницями      ; ракетницях     ;
ракета       ; ракети        ; ракеті        ; ракету       ; ракетою        ; ракеті        ; ракети       ; ракет        ; ракетам        ; ракети       ; ракетами         ; ракетах        ;

// [TerrainFeature]
// 0      ; 1         ; 2         ; 3         ; 4          ; 5         ; 6         ; 7          ; 8          ; 9         ; 10          ; 11         ;
рівнина   ; рівнини   ; рівнині   ; рівнину   ; рівниною   ; рівнині   ; рівнини   ; рівнин     ; рівнинам   ; рівнини   ; рівнинами   ; рівнинах   ;
степ      ; степу     ; степу     ; степ      ; степом     ; степі     ; степи     ; степів     ; степам     ; степи     ; степами     ; степах     ;
луг       ; лугу      ; лугу      ; луг       ; лугом      ; лузі      ; луги      ; лугів      ; лугам      ; луги      ; лугами      ; лугах      ;
плато     ; плато     ; плато     ; плато     ; плато      ; плато     ; плато     ; плато      ; плато      ; плато     ; плато       ; плато      ;
прерія    ; прерії    ; прерії    ; прерію    ; прерією    ; прерії    ; прерії    ; прерій     ; преріям    ; прерії    ; преріями    ; преріях    ;
пустеля   ; пустелі   ; пустелі   ; пустелю   ; пустелею   ; пустелі   ; пустелі   ; пустель    ; пустелям   ; пустелі   ; пустелями   ; пустелях   ;
поле      ; поля      ; полю      ; поле      ; полем      ; полі      ; поля      ; полів      ; полям      ; поля      ; полями      ; полях      ;
ліс       ; лісу      ; лісу      ; ліс       ; лісом      ; лісі      ; ліси      ; лісів      ; лісам      ; ліси      ; лісами      ; лісах      ;
дерево    ; дерева    ; дереву    ; дерево    ; деревом    ; дереві    ; дерева    ; дерев      ; деревам    ; дерева    ; деревами    ; деревах    ;
зарості   ; заростей  ; заростям  ; зарості   ; заростями  ; заростях  ;
чагарник  ; чагарнику ; чагарнику ; чагарник  ; чагарником ; чагарнику ; чагарники ; чагарників ; чагарникам ; чагарники ; чагарниками ; чагарниках ;
валун     ; валуна    ; валуну    ; валун     ; валуном    ; валуні    ; валуни    ; валунів    ; валунам    ; валуни    ; валунами    ; валунах    ;
скеля     ; скелі     ; скелі     ; скелю     ; скелею     ; скелі     ; скелі     ; скель      ; скелям     ; скелі     ; скелями     ; скелях     ;
кар'єр    ; кар'єру   ; кар'єру   ; кар'єр    ; кар'єром   ; кар'єрі   ; кар'єри   ; кар'єрів   ; кар'єрам   ; кар'єри   ; кар'єрами   ; кар'єрах   ;
камінь    ; каменю    ; каменю    ; камінь    ; каменем    ; камені    ; камені    ; каменів    ; каменям    ; камені    ; каменями    ; каменях    ;
гора      ; гори      ; горі      ; гору      ; горою      ; горі      ; гори      ; гір        ; горам      ; гори      ; горами      ; горах      ;
пагорб    ; пагорба   ; пагорбу   ; пагорб    ; пагорбом   ; пагорбі   ; пагорби   ; пагорбів   ; пагорбам   ; пагорби   ; пагорбами   ; пагорбах   ;
меза      ; мези      ; мезі      ; мезу      ; мезою      ; мезі      ; мези      ; мез        ; мезам      ; мези      ; мезами      ; мезах      ;
обрив     ; обриву    ; обриву    ; обрив     ; обривом    ; обриві    ; обриви    ; обривів    ; обривам    ; обриви    ; обривами    ; обривах    ;
хребет    ; хребта    ; хребту    ; хребет    ; хребтом    ; хребті    ; хребти    ; хребтів    ; хребтам    ; хребти    ; хребтами    ; хребтах    ;
долина    ; долини    ; долині    ; долину    ; долиною    ; долині    ; долини    ; долин      ; долинам    ; долини    ; долинами    ; долинах    ;
каньйон   ; каньйону  ; каньйону  ; каньйон   ; каньйоном  ; каньйоні  ; каньйони  ; каньйонів  ; каньйонам  ; каньйони  ; каньйонами  ; каньйонах  ;
ущелина   ; ущелини   ; ущелині   ; ущелину   ; ущелиною   ; ущелині   ; ущелини   ; ущелин     ; ущелинам   ; ущелини   ; ущелинами   ; ущелинах   ;
оазис     ; оазису    ; оазису    ; оазис     ; оазисом    ; оазисі    ; оазиси    ; оазисів    ; оазисам    ; оазиси    ; оазисами    ; оазисах    ;
печера    ; печери    ; печері    ; печеру    ; печерою    ; печері    ; печери    ; печер      ; печерам    ; печери    ; печерами    ; печерах    ;
річка     ; річки     ; річці     ; річку     ; річкою     ; річці     ; річки     ; річок      ; річкам     ; річки     ; річками     ; річках     ;
джерело   ; джерела   ; джерелу   ; джерело   ; джерелом   ; джерелі   ; джерела   ; джерел     ; джерелам   ; джерела   ; джерелами   ; джерелах   ;
струмок   ; струмка   ; струмку   ; струмок   ; струмком   ; струмку   ; струмки   ; струмків   ; струмкам   ; струмки   ; струмками   ; струмках   ;
потік     ; потоку    ; потоку    ; потік     ; потоком    ; потоці    ; потоки    ; потоків    ; потокам    ; потоки    ; потоками    ; потоках    ;
дельта    ; дельти    ; дельті    ; дельту    ; дельтою    ; дельті    ; дельти    ; дельт      ; дельтам    ; дельти    ; дельтами    ; дельтах    ;
гирло     ; гирла     ; гирлу     ; гирло     ; гирлом     ; гирлі     ; гирла     ; гирл       ; гирлам     ; гирла     ; гирлами     ; гирлах     ;
звук      ; звуку     ; звуку     ; звук      ; звуком     ; звуці     ; звуки     ; звуків     ; звукам     ; звуки     ; звуками     ; звуках     ;
бухта     ; бухти     ; бухті     ; бухту     ; бухтою     ; бухті     ; бухти     ; бухт       ; бухтам     ; бухти     ; бухтами     ; бухтах     ;
озеро     ; озера     ; озеру     ; озеро     ; озером     ; озері     ; озера     ; озер       ; озерам     ; озера     ; озерами     ; озерах     ;
океан     ; океану    ; океану    ; океан     ; океаном    ; океані    ; океани    ; океанів    ; океанам    ; океани    ; океанами    ; океанах    ;
ставок    ; ставка    ; ставку    ; ставок    ; ставком    ; ставку    ; ставки    ; ставків    ; ставкам    ; ставки    ; ставками    ; ставках    ;
басейн    ; басейну   ; басейну   ; басейн    ; басейном   ; басейні   ; басейни   ; басейнів   ; басейнам   ; басейни   ; басейнами   ; басейнах   ;
лагуна    ; лагуни    ; лагуні    ; лагуну    ; лагуною    ; лагуні    ; лагуни    ; лагун      ; лагунам    ; лагуни    ; лагунами    ; лагунах    ;
яма       ; ями       ; ямі       ; яму       ; ямою       ; ямі       ; ями       ; ям         ; ямам       ; ями       ; ямами       ; ямах       ;
болото    ; болота    ; болоту    ; болото    ; болотом    ; болоті    ; болота    ; боліт      ; болотам    ; болота    ; болотами    ; болотах    ;
тарпіт    ; тарпіта   ; тарпітові ; тарпіт    ; тарпітом   ; тарпітові ; тарпіти   ; тарпітів   ; тарпітам   ; тарпіти   ; тарпітами   ; тарпітах   ;
трясовина ; трясовини ; трясовині ; трясовину ; трясовиною ; трясовині ; трясовини ; трясовин   ; трясовинам ; трясовини ; трясовинами ; трясовинах ;

// [NaturalObject]
// 0     ; 1         ; 2         ; 3        ; 4          ; 5         ; 6         ; 7          ; 8          ; 9         ; 10          ; 11         ;
порода   ; породи    ; породі    ; породу   ; породою    ; породі    ; породи    ; порід      ; породам    ; породи    ; породами    ; породах    ;
камінь   ; каменю    ; каменю    ; камінь   ; каменем    ; камені    ; камені    ; каменів    ; каменям    ; камені    ; каменями    ; каменях    ;
валун    ; валуна    ; валуну    ; валун    ; валуном    ; валуні    ; валуни    ; валунів    ; валунам    ; валуни    ; валунами    ; валунах    ;
дерево   ; дерева    ; дереву    ; дерево   ; деревом    ; дереві    ; дерева    ; дерев      ; деревам    ; дерева    ; деревами    ; деревах    ;
чагарник ; чагарнику ; чагарнику ; чагарник ; чагарником ; чагарнику ; чагарники ; чагарників ; чагарникам ; чагарники ; чагарниками ; чагарниках ;
ставок   ; ставка    ; ставку    ; ставок   ; ставком    ; ставку    ; ставки    ; ставків    ; ставкам    ; ставки    ; ставками    ; ставках    ;
басейн   ; басейну   ; басейну   ; басейн   ; басейном   ; басейні   ; басейни   ; басейнів   ; басейнам   ; басейни   ; басейнами   ; басейнах   ;
озеро    ; озера     ; озеру     ; озеро    ; озером     ; озері     ; озера     ; озер       ; озерам     ; озера     ; озерами     ; озерах     ;
пагорб   ; пагорба   ; пагорбу   ; пагорб   ; пагорбом   ; пагорбі   ; пагорби   ; пагорбів   ; пагорбам   ; пагорби   ; пагорбами   ; пагорбах   ;
печера   ; печери    ; печері    ; печеру   ; печерою    ; печері    ; печери    ; печер      ; печерам    ; печери    ; печерами    ; печерах    ;
пень     ; пня       ; пню       ; пень     ; пнем       ; пні       ; пні       ; пнів       ; пням       ; пні       ; пнями       ; пнях       ;
мушля    ; мушлі     ; мушлі     ; мушлю    ; мушлею     ; мушлі     ; мушлі     ; мушель     ; мушлям     ; мушлі     ; мушлями     ; мушлях     ;
перо     ; пера      ; перу      ; перо     ; пером      ; пері      ; пера      ; пір'їв     ; пір'ям     ; пера      ; пір'ями     ; пір'ях     ;
насіння  ; насіння   ; насінню   ; насіння  ; насінням   ; насінні   ; насіння   ; насінин    ; насінням   ; насіння   ; насінинами  ; насінинах  ;
стовбур  ; стовбура  ; стовбуру  ; стовбур  ; стовбуром  ; стовбурі  ; стовбури  ; стовбурів  ; стовбурам  ; стовбури  ; стовбурами  ; стовбурах  ;
плід     ; плода     ; плоду     ; плід     ; плодом     ; плоді     ; плоди     ; плодів     ; плодам     ; плоди     ; плодами     ; плодах     ;
голка    ; голки     ; голці     ; голку    ; голкою     ; голці     ; голки     ; голок      ; голкам     ; голки     ; голками     ; голках     ;
хрущ     ; хруща     ; хрущу     ; хрущ     ; хрущем     ; хрущі     ; хрущі     ; хрущів     ; хрущам     ; хрущі     ; хрущами     ; хрущах     ;
жук      ; жука      ; жукові    ; жук      ; жуком      ; жукові    ; жуки      ; жуків      ; жукам      ; жуки      ; жуками      ; жуках      ;
копито   ; копита    ; копиту    ; копито   ; копитом    ; копиті    ; копита    ; копит      ; копитам    ; копита    ; копитами    ; копитах    ;
кіготь   ; кігтя     ; кігтю     ; кіготь   ; кігтем     ; кігті     ; кігті     ; кігтів     ; кігтям     ; кігті     ; кігтями     ; кігтях     ;
хвіст    ; хвоста    ; хвосту    ; хвіст    ; хвостом    ; хвості    ; хвости    ; хвостів    ; хвостам    ; хвости    ; хвостами    ; хвостах    ;
шкура    ; шкури     ; шкурі     ; шкуру    ; шкурою     ; шкурі     ; шкури     ; шкур       ; шкурам     ; шкури     ; шкурами     ; шкурах     ;
шкіра    ; шкіри     ; шкірі     ; шкіру    ; шкірою     ; шкірі     ; шкіри     ; шкір       ; шкірам     ; шкіри     ; шкірами     ; шкірах     ;
ріг      ; рога      ; рогові    ; ріг      ; рогом      ; розі      ; роги      ; рогів      ; рогам      ; роги      ; рогами      ; рогах      ;
зуб      ; зуба      ; зубові    ; зуб      ; зубом      ; зубі      ; зуби      ; зубів      ; зубам      ; зуби      ; зубами      ; зубах      ;
крило    ; крила     ; крилу     ; крило    ; крилом     ; крилі     ; крила     ; крил       ; крилам     ; крила     ; крилами     ; крилах     ;

// [TreeTypes]
