// {lookup: {термін, ключове слово}; Case; 1-7}
// {lookup: {термін}; Case; 3} -> 3-давальний (кому? чому?)
// {lookup: {PAWN_labelShort}; Case; 3}
// {lookup: {0_labelShort}; Case; 1}
// Case:
// 1-називний (хто? що?)
// 2-родовий (кого? чого?)
// 3-давальний (кому? чому?)
// 4-знахідний (кого? що?)
// 5-орудний (ким? чим?)
// 6-місцевий (на кому? на чому?)
// 7-кличний


// Це список категорій які є у файлі (для пошуку)
// Body, FactionDef, HeadiffDef, Headiff_BodyParts, OrderedTakeGroupDef, ... , RoomRoles

// Body

голова; голови; голові; голову; головою;
молодий заєць; молодого зайця; молодому зайцю; молодого зайця; молодим зайцем;
молода зайчиха; молодої зайчихи; молодій зайчисі; молоду зайчиху; молодою зайчихою;
зайченя біляка; зайченя біляка; зайченю біляка; зайченя біляка; зайченям біляка;
молодий білий заєць; молодого білого зайця; молодому білому зайцю; молодого білого зайця; молодим білим зайцем;
молода самка біляка; молодої самки біляка; молодій самці біляка; молоду самку біляка; молодою самкою біляка;

личинка мегаскарабею; личинки мегаскарабею; личинці мегаскарабею; личинку мегаскарабею; личинкою мегаскарабею;
личинка мегапавука; личинки мегапавука; личинці мегапавука; личинку мегапавука; личинкою мегапавука;
личинка спелопеди; личинки спелопеди; личинці спелопеди; личинку спелопеди; личинкою спелопеди;

альфабобреня; альфабобоеня; альфабобреню; альфабобреня; альфабобреням;
молодий альфабобер; молодого альфабобра; молодому альфабобру; молодого альфабобра; молодим альфабобром;
молода альфабобриха; молодої альфабобрихи; молодій альфабобрисі; молоду альфабобриху; молодою альфабобрихою;
дитинча кобри; дитинчати кобри; дитинчаті кобри; дитинча кобри; дитинчам кобри;
молода кобра; молодої кобри; молодій кобрі; молоду кобру; молодою коброю;
теля трумбо; теля трумбо; телю трумбо; теля трумбо; телям трумбо;
телята трумбо; телят трумбо; телятам трумбо; телят трумбо; телятами трумбо;
черепашонок; черепашонка; черепашонку; черепашонкп; черепашонком;
молода черепаха; молодої черепахи; молодій черепасі; молоду черепаху; молодою черепахою;

дитинча шиншили; дитинчати шиншили; дитинчаті шиншили; дитинча шиншили; дитинчам шиншили;
молода шиншила; молодої шиншили; молодій шиншилі; молоду шиншилу; молодою шиншилою;
оленя; оленяти; оленяті; оленя; оленям;
молодий олень; молодого оленя; молодому оленю; молодого оленя; молодим оленем;
молода олениха; молодої оленихи; молодій оленисі; молоду олениху; молодою оленихою;
дитинча газелі; дитинчати газелі; дитинчаті газелі; дитинча газелі; дитинчам газелі;
дитинчата газелі; дитинчат газелі; дитинчам газелі; дитинчат газелі; дитинчатами газелі;
молода газель; молодої газелі; молодій газелі; молоду газель; молодою газеллю;
газель; газелі; газелі; газель; газеллю;
гірське козеня; гірського козеня; гірському козеню; гірське козеня; гірським козеням;
молодий гірський козел; молодого гірського козла; молодому гірському козлу; молодого гірського козла; молодим гірським козлом;
молода гірська коза; молодої гірської кози; молодій гірській козі; молоду гірську козу; молодою гірською козою;
порося; порося; поросю; порося; поросям;
молода свиня; молодої свині; молодій свині; молоду свиню; молодою свинею;
молодий хряк; молодого хряка; молодому хряку; молодого хряка; молодим хряком;
кабаня; кабаняти; кабаняті; кабаня; кабаням;
молода кабаниха; молодої кабанихи; молодій кабанисі; молоду кабаниху; молодою кабанихою;
молодий кабан; молодого кабана; молодому кабану; молодого кабана; молодим кабаном;

дитинча альпаки; дитинчати альпаки; дитинчаті альпаки; дитинча альпаки; дитинчам альпаки;
молода альпака; молодої альпаки; молодій альпаці; молоду альпаку; молодою альпакою;
дитинча капібари; дитинчати капібари; дитинчаті капібари; дитинча капібари; дитинчам капібари;
молода капібара; молодої капібари; молодій капібарі; молоду капібару; молодою капібарою;
дитинча мегалінивця; дитинчати мегалінивця; дитинчаті мегалінивця; дитинча мегалінивця; дитинчам мегалінивця;
молодий мегалінивець; молодого мегалінивц; молодому мегалінивцю; молодого мегалінивця; молодим мегалінивцем;
ягня; ягняти; ягняті; ягня; ягням;
ягнята; ягнят; ягнятам; ягнят; ягнятами;
молода вівця; молодої вівці; молодій вівці; молоду вівцю; молодою вівцею;
молодий баран; молодого барана; молодому барану; молодого барана; молодим бараном;

бумщуря; бумщуряти; бумщуряті; бумщуря; бумщурям;
молодий бумщур; молодого бумщура; молодому бумщуру; молодого бумщура; молодим бумщуром;
дитинча ігуани; дитинчати ігуани; дитинчаті ігуани; дитинча ігуани; дитинчам ігуани;
молода ігуана; молодої ігуани; молодій ігуані; молоду ігуану; молодою ігуаною;
щеня єнота; щеняти єнота; щеняті єнота; щеня єнота; щеням єнота;
молодий єнот; молодого єнота; молодому єноту; молодого єнота; молодим єнотом;
щуря; щуряти; щуряті; щуря; щурям;
молодий щур; молодого щура; молодому щуру; молодого щура; молодим щуром;
білченя; білченяти; білченяті; білченя; білченям;
молода білка; молодої білки; молодій білці; молоду білку; молодою білкою;

щеня варга; щеняти варга; щеняті варга; щеня варга; щеням варга;
щенята варга; щенята варга; щенятам варга; щенят варга; щенятами варга;
молодий варг; молодого варга; молодому варгу; молодого варга; молодим варгом;

щеня песця; щеняти песця; щеняті песця; щеня песця; щеням песця;
щенята песця; щенята песця; щенятам песця; щенят песця; щенятами песця;
молодий песець; молодого песця; молодому песцю; молодого песця; молодим песцем;
щеня фенека; щеняти фенека; щеняті фенека; щеня фенека; щеням фенека;
щенята фенека; щенята фенека; щенятам фенека; щенят фенека; щенятами фенека;
молодий фенек; молодого фенека; молодому фенеку; молодого фенека; молодим фенеком;
лисеня; лисеняти; лисеняті; лисеня; лисеням;
лисенята; лисенят; лисенятам; лисенят; лисенятами;
молода лисиця; молодої лисиці; молодій лисиці; молоду лисицю; молодою лисицею;
молодий лис; молодого лиса; молодому лису; молодого лиса; молодим лисом;
полярне вовченя; полярного вовченяти; полярному вовченяті; полярне вовченя; полярним вовченям;
полярні вовченята; полярних вовченят; полярним вовченятам; полярних вовченят; полярними вовченятами;
молодий полярний вовк; молодого полярного вовка; молодому полярному вовку; молодого полярного вовка; молодим полярним вовком;
молода полярна вовчиця; молодої полярної вовчиці; молодій полярній вовчиці; молоду полярну вовчицю; молодою полярною вовчицею;
вовченя; вовченяти; вовченяті; вовченя; вовченям;
вовченята; вовченят; вовченятам; вовченят; вовченятами;
молодий вовк; молодого вовка; молодому вовку; молодого вовка; молодим вовком;
молода вовчиця; молодої вовчиці; молодій вовчиці; молоду вовчицю; молодою вовчицею;

//ResearchProjectDef

пивоваріння; пивоваріння; пивоварінню; пивоваріння; пивоварінням; 
шиття килимів; шиття килимів; шиттю килимів; шиття килимів; шиттям килимів; 
пошиття одягу; пошиття одягу; пошиттю одягу; пошиття одягу; пошиттям одягу; 
меблі; меблів; меблям; меблі; меблями; 
хімічне виробництво; хімічного виробництва; хімічному виробництву; хімічне виробництво; хімічним виробництвом; 
виробництво Go-соку; виробництва Go-соку; виробництву Go-соку; виробництво Go-соку; виробництвом Go-соку; 
довгі луки; довгих луків; довгим лукам; довгі луки; довгими луками; 
довгі леза; довгих лез; довгим лезам; довгі леза; довгими лезами;
синтез пеноксициліну; синтеза пеноксициліну; синтезу пеноксициліну; синтез пеноксициліну; синтезом пеноксициліну; 
пластинчата броня; пластинчатої броні; пластинчатій броні; пластинчату броню; пластинчатою бронею; 
переробка психіту; переробки психіту; переробці психіту; переробку психіту; переробкою психіту; 
ковальство; ковальства; ковальству; ковальство; ковальством; 
обробка каменю; обробки каменю; обробці каменю; обробку каменю; обробкою каменю; 
вирощування дерев; вирощування дерев; вирощуванню дерев; вирощування дерев; вирощуванням дерев; 
виробництво бадьорину; виробництва бадьорину; виробництву бадьорину; виробництво бадьорину; виробництвом бадьорину; 

кондиціонери; кондиціонерів; кондиціонерам; кондиціонери; кондиціонерами; 
автоматичні двері; автоматичних дверей; автоматичним дверям; автоматичні двері; автоматичними дверями; 
акумулятори; акумуляторів; акумуляторам; акумулятори; акумуляторами; 
переробка біопалива; переробки біопалива; переробці біопалива; переробку біопалива; переробкою біопалива; 
енергія віддачі; енергії віддачі; енергії віддачі; енергію віддачі; енергією віддачі; 
покращене освітлення; покращеного освітлення; покращеному освітленню; покращене освітлення; покращеним освітленням; 
електроенергія; електроенергії; електроенергії; електроенергію; електроенергією; 
броня; броні; броні; броню; бронею; 
пінні турелі; пінних турелів; пінним турелям; пінні турелі; пінними турелями; 
відведення порохових газів; відведення порохових газів; відведенню порохових газів; відведення порохових газів; відведенням порохових газів; 
геотермальна енергія; геотермальної енергія; геотермальній енергія; геотермальну енергія; геотермальною енергія; 
вогнепальна зброя; вогнепальної зброї; вогнепальній зброї; вогнепальну зброю; вогнепальною зброєю;
кулеметні турелі; кулеметних турелів; кулеметним турелям; кулеметні турелі; кулеметними турелями; 
гідропоніка; гідропоніки; гідропоніці; гідропоніку; гідропонікою; 
саморобні вибухові пристрої; саморобних вибухових пристроїв; саморобним вибуховим пристроям; саморобні вибухові пристрої; саморобними вибуховими пристроями; 
механіка; механіки; механіці; механіку; механікою; 
сухпайки; сухпайків; сухпайкам; сухпайки; сухпайками; 
протезування; протезування; протезуванню; протезування; протезуванням; 
димові шашки; димових шашок; димовим шашкам; димові шашки; димовими шашками; 
стерильні матеріали; стерильних матеріалів; стерильним матеріалам; стерильні матеріали; стерильними матеріалами; 
електронно-променева трубка; електронно-променевої трубки; електронно-променевій трубці; електронно-променеву трубку; електронно-променевою трубкою; 
гідрогенератор; гідрогенератора; гідрогенератору; гідрогенератор; гідрогенератором; 

глибинне буріння; глибинного буріння; глибинному бурінню; глибинне буріння; глибинним бурінням; 
РК-телевізори; РК-телевізорів; РК-телевізорам; РК-телевізори; РК-телевізорами; 
важкі турелі; важких турелів; важким турелям; важкі турелі; важкі турелі; 
мікроелектроніка; мікроелектроніки; мікроелектроніці; мікроелектроніку; мікроелектронікою; 
багатоствольна зброя; багатоствольної зброї; багатоствольній зброї; багатоствольну зброю; багатоствольній зброї; 
високоточна зброя; високоточної зброї; високоточній зброї; високоточну зброю; високоточною зброєю; 
генератори щита; генераторів щита; генераторам щита; генератори щита; генераторами щита; 

просунуте виробництво; просунутого виробництва; просунутому виробництву; просунуте виробництво; просунутим виробництвом; 
біонічне протезування; біонічного протезування; біонічному протезуванню; біонічне протезування; біонічним протезуванням; 
енергетична зброя; енергетичної зброї; енергетичній зброї; енергетичну зброю; енергетичною зброєю; 
саркофаги криптосну; саркофагів криптосну; саркофагам криптосну; саркофаги криптосну; саркофагами криптосну; 
високотехнологічне виробництво; високотехнологічного виробництва; високотехнологічному виробництву; високотехнологічне виробництво; високотехнологічним виробництвом; 
залпові системи; залпових систем; залповим системам; залпові системи; залповими системами; 
монітори життєвих показників; моніторів життєвих показників; моніторам життєвих показників; монітори життєвих показників; моніторами життєвих показників; 

основи космічних польотів; основ космічних польотів; основам космічних польотів; основи космічних польотів; основами космічних польотів; 
переконання ШІ; переконання ШІ; переконанню ШІ; переконання ШІ; переконанням ШІ; 
вакуумні капсули криптосну; вакуумних капсул криптосну; вакуумним капсулам криптосну; вакуумні капсули криптосну; вакуумними капсулами криптосну; 
двигун Джонсона-Танака; двигуна Джонсона-Танака; двигуну Джонсона-Танака; двигун Джонсона-Танака; двигуном Джонсона-Танака; 
реактор космічного корабля; реактора космічного корабля; реактору космічного корабля; реактор космічного корабля; реакторам космічного корабля; 
польотні сенсори; польотних сенсорів; польотним сенсорам; польотні сенсори; польотними сенсорами; 

//ThingDef A

пиво; пива; пиву; пиво; пивом;
сусло; сусла; суслу; сусло; суслом;

амброзія; амброзії; амброзії; амброзію; амброзією;

пояс-щит; поясу-щиту; поясу-щиту; пояс-щит; поясом-щитом;

бронешолом; бронешолому; бронешолому; бронешолом; бронешоломом;
шолом розвідника; шолома розвідника; шолому розвідника; шолом розвідника; шоломом розвідника; 
капелюх-казанок; капелюха-казанка; капелюху-казанку; капелюх-казанок; капелюхом-казанком;
ковбойський капелюх; ковбойського капелюха; ковбойському капелюху; ковбойський капелюх; ковбойським капелюхом;
каптур; каптура; каптуру; каптур; каптуром;
шолом десантника; шолома десантника; шолому десантника; шолом десантника; шоломом десантника; 
шолом з психофольги; шолома з психофольги; шолому з психофольги; шолом з психофольги; шоломом з психофольги;
простий шолом; простого шолома; простому шолому; простий шолом; простим шоломом;
племінний головний убір; племінного головного убору; племінному головному убору; племінний головний убір; племінним головним убором;
в'язана шапка; в'язаної шапки; в'язаній шапці; в'язану шапку; в'язаною шапкою;
маска війни; маски війни; масці війни; маску війни; маскою війни;
вуаль; вуалі; вуалі; вуаль; вуаллю;

капсула з протипожежною піною; капсули з протипожежною піною; капсулі з протипожежною піною; капсулу з протипожежною піною; капсулою з протипожежною піною;
капсули з протипожежною піною; капсул з протипожежною піною; капсулам з протипожежною піною; капсули з протипожежною піною; капсулами з протипожежною піною;
димова шашка; димової шашки; димовій шашці; димову шашку; димовою шашкою;
димові шашки; димових шашок; димовим шашкам; димові шашки; димовими шашками;

спис божевілля; спису божевілля; спису божевілля; спис божевілля; списом божевілля;
шоковий спис; шокового списа; шоковому спису; шоковий спис; шоковим списом;

розвідувальна броня; розвідувальної броні; розвідувальній броні; розвідувальну броню; розвідувальною бронею;
футболка; футболки; футболці; футболку; футболкою;
накидка; накидки; накидці; накидку; накидкою;
сорочка; сорочки; сорочці; сорочку; сорочкою;
плащ; плаща; плащу; плащ; плащем;
бронекуртка; бронекуртки; бронекуртці; бронекуртку; бронекурткою;
бронештани; бронештанів; бронештаням; бронештани; бронештанями;
бронежилет; бронежилета; бронежилету; бронежилет; бронежилетом;
куртка; куртки; куртці; куртку; курткою;
штани; штанів; штаням; штани; штанами;
парка; парки; парці; парку; паркою;
пластинчастий обладунок; пластинчастого обладунка; пластинчастому обладунку; пластинчастий обладунок; пластинчастим обладунком; 
броня десантника; броні десантника; броні десантника; броню десантника; бронею десантника; 
туніка; туніки; туніці; туніку; тунікою;

//ThingDef B

штурмова сокира; штурмової сокири; штурмовій сокирі; штурмову сокиру; штурмовою сокирою;
руків'я; руків'я; руків'ю; руків'я; руків'ям; 

старовинний бетонний бар'єр; старовинного бетонного бар'єру; старовинному бетонному бар'єру; старовинний бетонний бар'єр; старовинним бетонним бар'єром;
старовинний ліхтарний стовп; старовинного ліхтарного стовпа; старовинному ліхтарному стовпу; старовинний ліхтарний стовп; старовинним ліхтарним стовпом; 
урна; урни; урну; урну; урною;

старовинна лампа; старовинної лампи; старовинній лампі; старовинну лампу; старовинною лампою;

старовинна капсула криптосну; старовинної капсули криптосну; старовинній капсулі криптосну; старовину капсулу криптосну; старовинною капсулою криптосну; 

величезна скульптура; величезної скульптури; величезній скульптурі; величезну скульптуру; величезною скульптурою;
велика скульптура; великої скульптури; великій скульптурі; велику скульптуру; великою скульптурою;
мала скульптура; малої скульптури; малій скульптурі; малу скульптуру; малою скульптурою;
сніговик; сніговика; сніговику; сніговика; сніговиком;

корабельний дефоліатор; корабельного дефоліатора; корабельному дефоліатору; корабельний дефоліатор; корабельним дефоліатором;
корабельний пси-випромінювач; корабельного пси-випромінювача; корабельному пси-випромінювачу; корабельний пси-випромінювач; корабельним пси-випромінювачем;
уламок корабля; уламка корабля; уламку корабля; уламок корабля; уламком корабля;
шатл; шатла; шатлу; шатл; шатлом;
розбитий шатл; розбитого шатла; розбитому шатлу; розбитий шатл; розбитим шатлом;

ліжко для тварин; ліжка для тварин; ліжку для тварин; ліжко для тварин; ліжком для тварин;
спальна коробка для тварин; спальної коробки для тварин; спальній коробці для тварин; спальну коробку для тварин; спальною коробкою для тварин;
спальне місце для тварин; спального місця для тварин; спальному місцю для тварин; спальне місце для тварин; спальним місцем для тварин;
крісло; крісла; кріслу; крісло; кріслом;
ліжко; ліжка; ліжку; ліжко; ліжком;
спальний мішок; спального мішка; спальному мішку; спальний мішок; спальним мішком; 
двоспальний мішок; двоспального мішка; двоспальному мішку; двоспальний мішок; двоспальним мішком;
стілець; стільця; стільцю; стілець; стільцем;
двоспальне ліжко; двоспального ліжка; двоспальному ліжку; двоспальне ліжко; двоспальним ліжком;
двоспальне місце; двоспального місця; двоспальному місцю; двоспальне місце; двоспальним місцем;
комод; комода; комоду; комод; комодом;
тумбочка; тумбочки; тумбочці; тумбочку; тумбочкою;
лікарняне ліжко; лікарняного ліжка; лікарняному ліжку: лікарняне ліжко; лікарняним ліжком;
горщик для рослин; горщика для рослин; горщику для рослин; горщик для рослин; горщиком для рослин;
розкішне ліжко; розкішного ліжка; розкішному ліжку; розкішним ліжком;
полиці; полиць; полицями; полиці; полицями;
невеликі полиці; невеликих полиць; невеликим полицям; невеликі полиці; невеликими полицями;
спальне місце; спального місця; спальному місцю; спальне місце; спальному місцю;
торшер; торшера; торшеру; торшер; торшером;
табурет; 
сонячна лампа; сонячної лампи; сонячну лампу; сонячній лампі; сонячною лампою; 
стіл (1х2); стола (1х2); столу (1х2); стіл (1х2); столом (1х2);
стіл (2х2); стола (2х2); столу (2х2); стіл (2х2); столом (2х2);
стіл (2х4); стола (2х4); столу (2х4); стіл (2х4); столом (2х4);
стіл (3х3); стола (3х3); столу (3х3); стіл (3х3); столом (3х3);
факел; факела; факелу; факел; факелом;

більярдний стіл; більярдного стола; більярдному столу; більярдний стіл; більярдним столом;
шаховий стіл; шахового стола; шаховому столу; шаховий стіл; шаховим столом;
телевізор з плоским екраном; телевізора з плоским екраном; телевізору з плоским екраном; телевізор з плоским екраном; телевізором з плоским екраном; 
дошка для гри в Ур; дошки для гри в Ур; дошці для гри в Ур; дошку для гри в Ур; дошкою для гри в Ур;
кільце для кидання каменів; кільця для кидання каменів; кільцю для кидання каменів; кільце для кидання каменів; кільцем для кидання каменів;
стовп для кидання підків; стовпа для кидання підків; стовпу для кидання підків; стовп для кидання підків; стовпом для кидання підків;
ультрателевізор; ультрателевізора; ультрателевізору; ультрателевізор; ультрателевізором;
покерний стіл; покерного  стола; покерному столу; покерний стіл; покерним столом; 
телескоп; телескопа; телескопу; телескоп; телескопом;
ЕПТ телевізор; ЕПТ телевізора; ЕПТ телевізору; ЕПТ телевізор; ЕПТ телевізором

палаючий елемент живлення; палаючого елемента живлення; палаючому елементу живлення; палаючий елемент живлення; палаючим елементом живлення;

старовинна капсула криптосну; старовинної капсули криптосну; старовинній капсулі криптосну; старовинну капсулу криптосну; старовинною капсулою криптосну; 
місце збору каравану; місця збору каравану; місцю збору каравану; місце збору каравану; місцем збору каравану;
термінал зв'язку; термінала зв'язку; терміналом зв'язку; термінал зв'язку; терміналом зв'язку;
саркофаг криптосну; саркофага криптосну; саркофагом криптосну; саркофаг криптосну; саркофагом криптосну;
коробка для яєць; коробки для яєць; коробці для яєць; коробку для яєць; коробкою для яєць;
пристрій з протипожежною піною; пристрою з протипожежною піною; пристрою з протипожежною рівню; пристрій з протипожежною піною; пристроєм з протипожежною піною;
могила; могили; могилі; могилу; могилою;
глибинний сканер; глибинного сканера; глибинному сканеру; глибинний сканер; глибинним сканером;
сканер мінералів далекої дії; сканеру мінералів далекої дії; сканеру мінералів далекої дії; сканер мінералів далекої дії; сканером мінералів далекої дії;
місце для шлюбу; місця для шлюбу; місцю для шлюбу; місце для шлюбу; місцем для шлюбу;
водяний насос; водяного насоса; водяному насосу; водяний насос; водяним насосом;
мультианалізатор; мультианалізатора; мультианалізотору; мультианалізатор; мультианалізатором;
орбітальний торговий маяк; орбітального торгового маяка; орбітальному торговому маяку; орбітальний торговий маяк; орбітальним торговим маяком;
місце для вечірок; місця для вечірок; місцю для вечірок; місце для вечірок; місцем для вечірок;
маркер загону; маркера загону; маркеру загону; маркер загону; маркером загону;
пускова установка для капсул; пускової установки для капсул; пусковій установці для капсул; пускову установку для капсул; пусковою установкою для капсул;
саркофаг; саркофага; саркофагу; саркофаг; саркофагом;
велика стела; великої стели; великій стелі; велику стелу; великою стелою;
величезна стела; величезної стели; величезній стелі; величезну стелу; величезною стелою;
шафа для інструментів; шафи для інструментів;  шафі для інструментів; шафу для інструментів; шафою для інструментів;
транспортна капсула; транспортної капсули; транспортній капсулі; транспортну капсулу; транспортною капсулою;
монітор життєвих показників; монітора життєвих показників; монітора життєвих показників; монітору життєвих показників; монітором життєвих показників;

незакінчений музичний інструмент; незакінченого музичного інструмента; незакінченому музичному інструменті; незакінчений музичний інструмент; незакінченим музичним інструментом;

обвалені породи; обвалених порід; обваленим породам; обвалені породи; обваленими породами;
яскравий кокон; яскравого кокону; яскравому кокону; яскравий кокон; яскравим коконом;
вулик; вулика; вулику; вулик; вуликом;
поклади компонентів; покладів компонентів; покладам компонентів; поклади компонентів; покладами компонентів;
золота руда; золотої руди; золотій руді; золоту руду; золотою рудою;
нефрит; нефриту; нефриту; нефрит; нефритом;
поклади пласталі; покладів пласталі; покладам пласталі; поклади пласталі; покладами пласталі;
срібна руда; срібної руди; срібній руді; срібну руду; срібною рудою;
поклади сталі; покладів сталі; покладам сталі; поклади сталі; покладами сталі;
уранова руда; уранової руди; урановій руді; уранову руду; урановою рудою;
кам'яна стіна; кам'яної стіни; кам'яні стіні; кам'яну стіну; кам'яною стіною;
паровий гейзер; парового гейзера; паровому гейзеру; паровий гейзер; паровим гейзером;

акумулятор; акумулятора; акумулятору; акумулятор; акумулятором;
генератор на хімпаливі; генератора на хімпаливі; генератору на хімпаливі; генератор на хімпаливі; генератором на хімпаливі;
геотермальний генератор; геотермального генератора; геотермальному генератору; геотермальний генератор; геотермальним генератором;
електрокабель; електрокабелю; електрокабелю; електрокабель; електрокабелем;
перемикач; перемикача; перемикачу; перемикач; перемикачем;
сонячна панель; сонячної панелі; сонячній панелі; сонячну панель; сонячною панеллю;
гідрогенератор; гідрогенератора; гідрогенератору; гідрогенератор; гідрогенератором;
водонепроникний кабель; водонепроникного кабелю; водонепроникному кабелю; водонепроникний кабель; водонепроникним кабелем;
вітрова турбіна; вітрової турбіни; вітровій турбіні; вітрову турбіну; вітровою турбіною;
генератор на дровах; генератора на дровах; генератору на дровах; генератор на дровах; генератором на дровах;

біопаливний апарат; біопаливного апарата; біопаливному апарату; біопаливний апарат; біопаливним апаратом;
пивоварня; пивоварні; пивоварні; пивоварню; пивоварнею;
місце м'ясника; місця м'ясника; місць м'ясника; місце м'ясника; місцем м'ясника;
місце для виготовлення; місця для виготовлення; місць для виготовлення; місце для виготовлення; місцем для виготовлення;
бурова установка; бурової установки; буровій установці; бурову установку; бурової установки;
хімічна лабораторія; хімічної лабораторії; хімічній лабораторії; хімічну лабораторію; хімічною лабораторією;
електричний крематорій; електричного крематорію; електричному крематорію; електричний крематорій; електричним крематорієм;
електрична плавильня; електричної плавальні; електричній плавильні; електричну плавильню; електричною плавильнею;
електрична кузня; електричної кузні; електричній кузні; електричну кузню; електричною кузнею;
електрична плита; електричної плити; електричній плиті; електричну плиту; електричною плитою;
швацька машина; швацької машини; швацькій машині; швацьку машину; швацькою машиною;
високотехнологічний верстат; високотехнологіного верстату; високотехнологічному верстату; високотехнологічний верстат; високотехнологічним верстатом;
бродильна бочка; бродильної бочки; бродильній бочці; бродильну бочку; бродильною бочкою;
